param_count,model_size_mb,flops,params,training_memory_mb
961280,3.6669921875,7412457984,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 1, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 128, 'conv1d_1_kernel_size': 7, 'conv1d_1_act': 'silu', 'pool_size_1': 1, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.00530369405523149}",10089.611328125
820961,3.1317176818847656,4253417441,"{'num_conv_layers': 2, 'conv1d_0_filters': 256, 'conv1d_0_kernel_size': 2, 'conv1d_0_act': 'elu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 2, 'conv1d_1_act': 'gelu', 'pool_size_1': 2, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 225, 'dense_0_dropout': 0.4, 'dense_0_act': 'relu', 'learning_rate': 0.00016942437287023056}",10088.234390258789
617216,2.3544921875,4661481984,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 9, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 128, 'conv1d_1_kernel_size': 4, 'conv1d_1_act': 'gelu', 'pool_size_1': 1, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.0006535499966196999}",10084.361328125
1123072,4.2841796875,8697833984,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'elu', 'pool_size_0': 1, 'conv1d_1_filters': 128, 'conv1d_1_kernel_size': 8, 'conv1d_1_act': 'elu', 'pool_size_1': 2, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.005136186385660212}",9967.080078125
58683717,223.86061477661133,8806916677,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'elu', 'pool_size_0': 3, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 6, 'conv1d_1_act': 'tanh', 'pool_size_1': 4, 'pooling_type': 'flatten', 'num_dense_layers': 1, 'dense_0_units': 325, 'dense_0_dropout': 0.2, 'dense_0_act': 'tanh', 'learning_rate': 0.001385127408983772}",9803.540603637695
1705004,6.5040740966796875,10548477484,"{'num_conv_layers': 2, 'conv1d_0_filters': 256, 'conv1d_0_kernel_size': 3, 'conv1d_0_act': 'elu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 5, 'conv1d_1_act': 'silu', 'pool_size_1': 3, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 300, 'dense_0_dropout': 0.1, 'dense_0_act': 'elu', 'learning_rate': 0.0005724155989442127}",9768.333679199219
1319168,5.0322265625,8429236480,"{'num_conv_layers': 2, 'conv1d_0_filters': 256, 'conv1d_0_kernel_size': 2, 'conv1d_0_act': 'tanh', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 4, 'conv1d_1_act': 'relu', 'pool_size_1': 3, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.00144774221494827}",9762.0068359375
538880,2.0556640625,2191028480,"{'num_conv_layers': 2, 'conv1d_0_filters': 256, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'gelu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 1, 'conv1d_1_act': 'elu', 'pool_size_1': 3, 'pooling_type': 'max', 'num_dense_layers': 0, 'learning_rate': 0.00013027497382767997}",9750.1005859375
2271488,8.6650390625,8701616896,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 6, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 2, 'conv1d_1_filters': 512, 'conv1d_1_kernel_size': 4, 'conv1d_1_act': 'silu', 'pool_size_1': 4, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.0015526719447307227}",9734.7822265625
66507520,253.7060546875,4207528448,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 8, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 2, 'conv1d_1_filters': 128, 'conv1d_1_kernel_size': 7, 'conv1d_1_act': 'tanh', 'pool_size_1': 1, 'pooling_type': 'flatten', 'num_dense_layers': 0, 'learning_rate': 0.0010462331752042345}",9714.705078125
324322267,1237.1912651062012,757322971,"{'num_conv_layers': 1, 'conv1d_0_filters': 512, 'conv1d_0_kernel_size': 4, 'conv1d_0_act': 'silu', 'pool_size_0': 3, 'pooling_type': 'flatten', 'num_dense_layers': 1, 'dense_0_units': 475, 'dense_0_dropout': 0.2, 'dense_0_act': 'relu', 'learning_rate': 0.0003044338070207634}",9690.856369018555
2755116,10.509933471679688,18948009516,"{'num_conv_layers': 2, 'conv1d_0_filters': 256, 'conv1d_0_kernel_size': 4, 'conv1d_0_act': 'none', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 9, 'conv1d_1_act': 'silu', 'pool_size_1': 2, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 300, 'dense_0_dropout': 0.0, 'dense_0_act': 'elu', 'learning_rate': 0.0050554388808755485}",9617.710632324219
780688,2.97808837890625,2123688464,"{'num_conv_layers': 2, 'conv1d_0_filters': 64, 'conv1d_0_kernel_size': 4, 'conv1d_0_act': 'relu', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 4, 'conv1d_1_act': 'sigmoid', 'pool_size_1': 1, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 400, 'dense_0_dropout': 0.2, 'dense_0_act': 'relu', 'learning_rate': 0.00359269587691778}",9587.880615234375
791424,3.01904296875,4215220352,"{'num_conv_layers': 2, 'conv1d_0_filters': 64, 'conv1d_0_kernel_size': 1, 'conv1d_0_act': 'tanh', 'pool_size_0': 1, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 8, 'conv1d_1_act': 'tanh', 'pool_size_1': 1, 'pooling_type': 'average', 'num_dense_layers': 0, 'learning_rate': 0.005121584149513572}",9587.45849609375
359835,1.3726615905761719,1635544475,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 1, 'conv1d_0_act': 'tanh', 'pool_size_0': 1, 'conv1d_1_filters': 64, 'conv1d_1_kernel_size': 3, 'conv1d_1_act': 'sigmoid', 'pool_size_1': 3, 'pooling_type': 'max', 'num_dense_layers': 1, 'dense_0_units': 475, 'dense_0_dropout': 0.2, 'dense_0_act': 'none', 'learning_rate': 0.00016066701357077948}",9497.524337768555
205690,0.7846450805664062,989320314,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 9, 'conv1d_0_act': 'silu', 'pool_size_0': 1, 'conv1d_1_filters': 64, 'conv1d_1_kernel_size': 1, 'conv1d_1_act': 'gelu', 'pool_size_1': 4, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 250, 'dense_0_dropout': 0.4, 'dense_0_act': 'tanh', 'learning_rate': 0.009680267024268118}",9484.668365478516
4834498,18.44214630126953,8848174274,"{'num_conv_layers': 2, 'conv1d_0_filters': 1024, 'conv1d_0_kernel_size': 9, 'conv1d_0_act': 'sigmoid', 'pool_size_0': 4, 'conv1d_1_filters': 1024, 'conv1d_1_kernel_size': 4, 'conv1d_1_act': 'tanh', 'pool_size_1': 2, 'pooling_type': 'average', 'num_dense_layers': 1, 'dense_0_units': 450, 'dense_0_dropout': 0.4, 'dense_0_act': 'relu', 'learning_rate': 0.0005355479168366842}",9399.788116455078
