Time: 2025-07-17 11:07:01 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 128.90%
Time: 2025-07-17 11:07:04 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 124.90%
Time: 2025-07-17 11:07:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 127.90%
Time: 2025-07-17 11:07:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 120.90%
Time: 2025-07-17 11:07:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 118.90%
Time: 2025-07-17 11:07:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:07:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 110.90%
Time: 2025-07-17 11:07:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 115.90%
Time: 2025-07-17 11:07:25 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 118.90%
Time: 2025-07-17 11:07:28 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 126.90%
Time: 2025-07-17 11:07:31 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 127.90%
Time: 2025-07-17 11:07:34 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 26.00%
Time: 2025-07-17 11:07:37 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 26.00%
Time: 2025-07-17 11:07:40 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.90%
Time: 2025-07-17 11:07:43 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:07:46 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 120.90%
Time: 2025-07-17 11:07:49 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 116.90%
Time: 2025-07-17 11:07:52 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:07:55 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 110.90%
Time: 2025-07-17 11:07:58 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 112.90%
Time: 2025-07-17 11:08:01 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 113.90%
Time: 2025-07-17 11:08:04 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 117.90%
Time: 2025-07-17 11:08:07 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.00%
Time: 2025-07-17 11:08:10 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 125.90%
Time: 2025-07-17 11:08:13 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 28.00%
Time: 2025-07-17 11:08:16 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 24.00%
Time: 2025-07-17 11:08:19 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 126.90%
Time: 2025-07-17 11:08:22 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 121.90%
Time: 2025-07-17 11:08:25 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 11:08:28 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 111.90%
Time: 2025-07-17 11:08:31 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 115.90%
Time: 2025-07-17 11:08:34 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 114.90%
Time: 2025-07-17 11:08:37 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 122.90%
Time: 2025-07-17 11:08:40 -03, PID: 138809, MEM: 6.09%, 3.80 GB, CPU: 123.90%
